Date,Time,Answer
8/31/18,18:08:00,8
9/1/18,17:18:27,6
9/2/18,17:00:00,5
9/3/18,16:18:39,7
9/4/18,18:35:28,8
9/5/18,17:04:47,6
9/6/18,17:23:53,5
9/7/18,17:03:46,8
9/8/18,19:28:50,9
9/9/18,17:51:29,9
9/10/18,18:43:43,6
9/11/18,17:00:11,6
9/12/18,21:48:27,7
9/13/18,17:00:00,8
9/14/18,17:00:00,8
9/15/18,22:51:32,8
9/16/18,20:56:40,8
9/17/18,17:00:00,5
9/18/18,17:00:05,4
9/19/18,17:00:00,6
9/20/18,21:13:07,7
9/21/18,21:17:21,6
9/22/18,21:22:03,8
9/23/18,16:24:16,9
9/24/18,17:27:06,7
9/25/18,17:00:00,6
9/26/18,17:00:00,6
9/27/18,17:00:00,7
9/28/18,18:08:46,4
9/29/18,17:00:00,5
9/30/18,20:59:50,6
10/1/18,17:00:00,8
10/2/18,17:00:57,7
10/3/18,17:00:00,7
10/4/18,18:21:49,4
10/5/18,17:00:00,9
10/6/18,17:00:19,5
10/7/18,18:42:04,8
10/8/18,17:00:00,8
10/9/18,17:00:12,3
10/10/18,17:00:00,6
10/11/18,17:00:00,6
10/12/18,17:00:00,5
10/13/18,21:57:08,5
10/14/18,17:00:00,6
10/15/18,17:00:00,8
10/16/18,19:54:22,4
10/17/18,17:38:57,6
10/18/18,17:00:00,7
10/19/18,17:00:00,6
10/20/18,17:00:00,6
10/21/18,17:00:00,4
10/22/18,17:00:00,5
10/23/18,17:00:00,6
10/24/18,17:00:00,7
10/25/18,19:51:12,8
10/26/18,17:00:00,8
10/27/18,8:37:53,8
10/28/18,21:39:34,8
