Date,Time,Answer
8/31/18,18:18:13,5.5
9/1/18,17:18:39,5
9/2/18,8:09:43,7
9/3/18,9:48:20,4
9/4/18,6:13:06,6.5
9/5/18,10:23:45,6
9/6/18,17:23:40,5
9/7/18,11:32:20,7
9/8/18,19:28:41,8
9/9/18,7:02:05,8
9/10/18,9:39:53,7
9/11/18,10:28:09,8
9/12/18,21:48:51,7
9/13/18,9:00:00,8
9/14/18,9:00:00,8
9/15/18,22:51:16,8
9/16/18,9:08:06,8
9/17/18,15:33:22,6
9/18/18,9:23:23,4
9/19/18,17:00:23,6
9/20/18,7:22:42,8
9/21/18,9:24:24,6
9/22/18,16:06:00,4
9/23/18,16:24:10,7
9/24/18,7:15:57,5
9/25/18,14:23:51,8
9/26/18,9:01:16,5
9/27/18,9:00:00,8
9/28/18,5:54:48,8
9/29/18,9:00:00,8
9/30/18,9:50:17,4
10/1/18,7:24:38,6
10/2/18,6:05:08,8
10/3/18,9:00:00,7
10/4/18,18:21:54,5
10/5/18,7:50:01,7
10/6/18,17:00:34,7
10/7/18,18:42:00,8
10/8/18,9:00:00,8
10/9/18,7:38:54,7
10/10/18,9:00:11,5
10/11/18,9:00:00,7
10/12/18,9:00:00,5
10/13/18,21:56:53,7
10/14/18,9:00:00,7
10/15/18,9:00:00,7
10/16/18,8:50:21,7
10/17/18,9:34:55,6
10/18/18,15:39:36,4
10/19/18,9:00:00,6
10/20/18,9:00:00,7
10/21/18,9:00:00,6
10/22/18,9:00:00,6
10/23/18,9:00:00,7
10/24/18,9:00:00,7
10/25/18,2:59:29,5
10/26/18,9:00:00,6
10/27/18,8:37:39,5
10/28/18,21:39:41,5
